manzana,mnz_visit_count,mnz_correct_svy_avg,mnz_day_correct_avg,mnz_duration_patrol_avg,n_patrollers_avg
7600110000000020090426,3.0,1.0,0.6666666865348816,15.333333015441895,6.5
7600110000000020100101,4.0,1.0,1.0,16.5,7.75
7600110000000020100112,4.0,1.0,1.0,13.0,7.75
7600110000000020100115,6.0,1.0,0.6666666865348816,17.66666603088379,8.0
7600110000000020100210,3.0,1.0,0.6666666865348816,15.0,7.5
7600110000000020100217,6.0,1.0,0.8333333134651184,13.0,8.0
7600110000000020100223,5.0,1.0,0.6000000238418579,15.0,7.0
7600110000000020110133,5.0,1.0,0.6000000238418579,6.400000095367432,7.5
7600110000000020110135,4.0,1.0,0.75,11.25,7.333333492279053
7600110000000020110210,4.0,1.0,0.75,10.0,7.333333492279053
7600110000000020110212,4.0,1.0,1.0,5.5,8.25
7600110000000020110214,4.0,1.0,1.0,11.75,7.25
7600110000000020110218,3.0,1.0,0.6666666865348816,11.333333015441895,7.333333492279053
7600110000000020110219,3.0,1.0,0.6666666865348816,10.333333015441895,7.5
7600110000000020110220,5.0,1.0,1.0,6.599999904632568,7.800000190734863
7600110000000020110301,3.0,1.0,1.0,9.666666984558105,7.666666507720947
7600110000000020110311,4.0,1.0,1.0,11.0,7.0
7600110000000020110328,6.0,1.0,0.6666666865348816,13.833333015441895,7.25
7600110000000020110329,3.0,1.0,0.6666666865348816,5.0,7.5
7600110000000020120102,3.0,1.0,0.6666666865348816,14.666666984558105,7.5
7600110000000020120114,3.0,1.0,0.6666666865348816,11.0,7.5
7600110000000020120129,5.0,1.0,1.0,13.666666984558105,7.400000095367432
7600110000000020120139,4.0,1.0,0.75,9.5,7.333333492279053
7600110000000020130102,3.0,1.0,0.6666666865348816,8.0,8.0
7600110000000020130104,5.0,1.0,0.800000011920929,9.800000190734863,7.25
7600110000000020130150,4.0,1.0,1.0,4.5,7.0
7600110000000020130151,6.0,1.0,0.8333333134651184,15.833333015441895,8.0
7600110000000020130203,3.0,1.0,1.0,7.333333492279053,7.0
7600110000000020130245,5.0,1.0,0.800000011920929,9.199999809265137,7.25
7600110000000020130249,5.0,1.0,1.0,9.199999809265137,7.800000190734863
7600110000000020130256,3.0,1.0,1.0,4.0,7.0
,68.0,0.0,0.0,9.948232650756836,7.217391490936279
